starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 16 18:15:23 2018	1523924123	0	4	4	4
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	4
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	4
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	4
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	1	4	5	4
Mon Apr 16 18:15:23 2018	1523924123	0	5	5	5
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	1
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	1	5	6	5
Mon Apr 16 18:15:23 2018	1523924123	1	5	6	5
Mon Apr 16 18:15:23 2018	1523924123	1	5	6	5
Mon Apr 16 18:15:23 2018	1523924123	1	5	6	5
Mon Apr 16 18:15:23 2018	1523924123	1	5	6	5
Mon Apr 16 18:15:23 2018	1523924123	1	5	6	5
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	1	5	6	4
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	5
Mon Apr 16 18:15:23 2018	1523924123	1	5	6	5
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
Mon Apr 16 18:15:23 2018	1523924123	0	6	6	6
