starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 16 18:13:50 2018	1523924030	0	3	3	3
Mon Apr 16 18:13:50 2018	1523924030	0	4	4	4
Mon Apr 16 18:13:50 2018	1523924030	0	4	4	4
Mon Apr 16 18:13:50 2018	1523924030	0	4	4	4
Mon Apr 16 18:13:50 2018	1523924030	0	4	4	4
Mon Apr 16 18:13:50 2018	1523924030	0	4	4	4
Mon Apr 16 18:13:50 2018	1523924030	0	4	4	4
Mon Apr 16 18:13:50 2018	1523924030	0	4	4	4
Mon Apr 16 18:13:50 2018	1523924030	0	4	4	4
Mon Apr 16 18:13:50 2018	1523924030	0	4	4	4
Mon Apr 16 18:13:50 2018	1523924030	0	4	4	4
Mon Apr 16 18:13:50 2018	1523924030	0	4	4	4
Mon Apr 16 18:13:50 2018	1523924030	0	4	4	4
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	4
Mon Apr 16 18:13:50 2018	1523924030	1	4	5	4
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	4
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	4
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	4
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	4
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	4
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	4
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	1	4	5	4
Mon Apr 16 18:13:50 2018	1523924030	0	5	5	5
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	6
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	6
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	6
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	5
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	6
Mon Apr 16 18:13:50 2018	1523924030	1	5	6	5
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	6
Mon Apr 16 18:13:50 2018	1523924030	1	5	6	5
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	5
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	6
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	5
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	5
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	5
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	6
Mon Apr 16 18:13:50 2018	1523924030	1	5	6	5
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	5
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	6
Mon Apr 16 18:13:50 2018	1523924030	1	5	6	5
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	6
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	6
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	6
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	6
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	6
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	6
Mon Apr 16 18:13:50 2018	1523924030	1	5	6	5
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	5
Mon Apr 16 18:13:50 2018	1523924030	0	6	6	6
Mon Apr 16 18:13:50 2018	1523924030	1	6	7	1
Mon Apr 16 18:13:50 2018	1523924030	0	7	7	7
Mon Apr 16 18:13:50 2018	1523924030	0	7	7	7
Mon Apr 16 18:13:50 2018	1523924030	0	7	7	7
Mon Apr 16 18:13:50 2018	1523924030	1	6	7	5
Mon Apr 16 18:13:50 2018	1523924030	1	7	8	6
Mon Apr 16 18:13:50 2018	1523924030	0	8	8	7
Mon Apr 16 18:13:50 2018	1523924030	1	7	8	7
Mon Apr 16 18:13:50 2018	1523924030	0	8	8	8
Mon Apr 16 18:13:50 2018	1523924030	0	8	8	8
Mon Apr 16 18:13:50 2018	1523924030	0	8	8	8
Mon Apr 16 18:13:50 2018	1523924030	0	8	8	8
Mon Apr 16 18:13:50 2018	1523924030	0	8	8	8
Mon Apr 16 18:13:50 2018	1523924030	0	9	9	9
Mon Apr 16 18:13:50 2018	1523924030	1	8	9	8
Mon Apr 16 18:13:50 2018	1523924030	1	44	45	44
