starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 16 18:14:07 2018	1523924047	0	4	4	4
Mon Apr 16 18:14:07 2018	1523924047	0	4	4	3
Mon Apr 16 18:14:07 2018	1523924047	0	5	5	5
Mon Apr 16 18:14:07 2018	1523924047	0	5	5	4
Mon Apr 16 18:14:07 2018	1523924047	0	5	5	4
Mon Apr 16 18:14:07 2018	1523924047	0	5	5	5
Mon Apr 16 18:14:07 2018	1523924047	0	5	5	5
Mon Apr 16 18:14:07 2018	1523924047	0	5	5	5
Mon Apr 16 18:14:07 2018	1523924047	0	5	5	5
Mon Apr 16 18:14:07 2018	1523924047	0	5	5	3
Mon Apr 16 18:14:07 2018	1523924047	0	5	5	5
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	5
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	5
Mon Apr 16 18:14:07 2018	1523924047	1	5	6	5
Mon Apr 16 18:14:07 2018	1523924047	1	5	6	5
Mon Apr 16 18:14:07 2018	1523924047	1	5	6	1
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	0	6	6	6
Mon Apr 16 18:14:07 2018	1523924047	1	6	7	6
Mon Apr 16 18:14:07 2018	1523924047	0	7	7	7
Mon Apr 16 18:14:07 2018	1523924047	0	7	7	7
Mon Apr 16 18:14:07 2018	1523924047	0	7	7	7
Mon Apr 16 18:14:07 2018	1523924047	1	6	7	5
Mon Apr 16 18:14:07 2018	1523924047	0	7	7	7
Mon Apr 16 18:14:07 2018	1523924047	0	7	7	7
Mon Apr 16 18:14:07 2018	1523924047	0	7	7	7
Mon Apr 16 18:14:07 2018	1523924047	0	7	7	6
Mon Apr 16 18:14:07 2018	1523924047	0	7	7	6
Mon Apr 16 18:14:07 2018	1523924047	0	7	7	7
Mon Apr 16 18:14:07 2018	1523924047	0	7	7	7
Mon Apr 16 18:14:07 2018	1523924047	1	6	7	6
Mon Apr 16 18:14:07 2018	1523924047	1	6	7	6
Mon Apr 16 18:14:07 2018	1523924047	1	6	7	6
Mon Apr 16 18:14:07 2018	1523924047	1	6	7	6
Mon Apr 16 18:14:07 2018	1523924047	0	7	7	7
Mon Apr 16 18:14:07 2018	1523924047	0	7	7	6
Mon Apr 16 18:14:07 2018	1523924047	0	7	7	7
Mon Apr 16 18:14:07 2018	1523924047	0	7	7	7
Mon Apr 16 18:14:07 2018	1523924047	0	7	7	7
Mon Apr 16 18:14:07 2018	1523924047	0	7	7	7
Mon Apr 16 18:14:07 2018	1523924047	0	8	8	7
Mon Apr 16 18:14:07 2018	1523924047	0	8	8	7
Mon Apr 16 18:14:07 2018	1523924047	0	8	8	8
Mon Apr 16 18:14:07 2018	1523924047	0	8	8	7
Mon Apr 16 18:14:07 2018	1523924047	1	7	8	6
Mon Apr 16 18:14:07 2018	1523924047	0	8	8	8
Mon Apr 16 18:14:07 2018	1523924047	1	7	8	6
Mon Apr 16 18:14:07 2018	1523924047	0	8	8	8
Mon Apr 16 18:14:07 2018	1523924047	0	8	8	8
Mon Apr 16 18:14:07 2018	1523924047	1	7	8	7
Mon Apr 16 18:14:07 2018	1523924047	0	8	8	8
Mon Apr 16 18:14:07 2018	1523924047	0	9	9	8
Mon Apr 16 18:14:07 2018	1523924047	0	9	9	9
Mon Apr 16 18:14:07 2018	1523924047	0	9	9	8
Mon Apr 16 18:14:07 2018	1523924047	0	9	9	9
Mon Apr 16 18:14:07 2018	1523924047	0	9	9	9
Mon Apr 16 18:14:07 2018	1523924047	0	9	9	9
Mon Apr 16 18:14:07 2018	1523924047	0	9	9	9
Mon Apr 16 18:14:07 2018	1523924047	0	9	9	9
Mon Apr 16 18:14:07 2018	1523924047	0	9	9	9
Mon Apr 16 18:14:07 2018	1523924047	0	9	9	9
Mon Apr 16 18:14:07 2018	1523924047	0	9	9	9
Mon Apr 16 18:14:07 2018	1523924047	0	10	10	9
Mon Apr 16 18:14:07 2018	1523924047	0	10	10	10
Mon Apr 16 18:14:07 2018	1523924047	0	10	10	10
Mon Apr 16 18:14:07 2018	1523924047	0	10	10	9
Mon Apr 16 18:14:07 2018	1523924047	0	10	10	10
Mon Apr 16 18:14:07 2018	1523924047	1	9	10	9
Mon Apr 16 18:14:07 2018	1523924047	0	10	10	10
Mon Apr 16 18:14:07 2018	1523924047	1	9	10	9
Mon Apr 16 18:14:07 2018	1523924047	1	9	10	9
Mon Apr 16 18:14:07 2018	1523924047	0	10	10	10
Mon Apr 16 18:14:07 2018	1523924047	0	10	10	10
Mon Apr 16 18:14:07 2018	1523924047	0	11	11	11
Mon Apr 16 18:14:07 2018	1523924047	0	11	11	11
Mon Apr 16 18:14:07 2018	1523924047	1	10	11	10
Mon Apr 16 18:14:07 2018	1523924047	0	11	11	11
Mon Apr 16 18:14:07 2018	1523924047	0	12	12	11
Mon Apr 16 18:14:07 2018	1523924047	0	12	12	12
Mon Apr 16 18:14:07 2018	1523924047	0	12	12	12
Mon Apr 16 18:14:07 2018	1523924047	0	19	19	19
Mon Apr 16 18:14:07 2018	1523924047	0	23	23	22
