starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 18 11:10:15 2018	1524071415	0	3	3	3
Wed Apr 18 11:10:15 2018	1524071415	0	4	4	4
Wed Apr 18 11:10:15 2018	1524071415	0	4	4	4
Wed Apr 18 11:10:15 2018	1524071415	0	4	4	4
Wed Apr 18 11:10:15 2018	1524071415	0	4	4	4
Wed Apr 18 11:10:15 2018	1524071415	0	4	4	4
Wed Apr 18 11:10:15 2018	1524071415	0	4	4	4
Wed Apr 18 11:10:15 2018	1524071415	0	4	4	3
Wed Apr 18 11:10:15 2018	1524071415	0	4	4	4
Wed Apr 18 11:10:15 2018	1524071415	0	4	4	4
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	4
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	1	4	5	3
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	4
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	4
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	4
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	5	5	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	4
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	1
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	5
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	5
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	5
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	5
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	5
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	5
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	5
Wed Apr 18 11:10:15 2018	1524071415	1	5	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	5
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
Wed Apr 18 11:10:15 2018	1524071415	0	6	6	6
